"Geneid","acetate_rep1","acetate_rep2","anaerobic_rep1","anaerobic_rep2","LiAcet_rep1","LiAcet_rep2","M9_glucose_rep1","M9_glucose_rep2","paraquat_rep1","paraquat_rep2","sorbital_arginine_rep1","sorbital_arginine_rep2","stationary_rep1","stationary_rep2","TB_rep1","TB_rep2"
"b0001",879,583,1,1,1119,281,154,301,586,904,410,371,922,972,278,431
"b0002",19965,17599,316,334,30396,27031,41201,36356,2682,4473,41603,33787,60974,44235,8014,10110
"b0003",8487,6648,68,72,10087,9351,13006,11808,1323,1772,13289,11003,19603,15156,3497,3016
"b0004",11135,8841,68,70,10911,10983,20015,17036,977,1419,16286,13232,28576,18012,5164,4483
"b0005",64,158,5,4,122,127,277,224,37,39,103,107,416,143,93,175
"b0006",513,517,27,43,529,499,616,513,389,449,573,524,587,464,973,1075
"b0007",202,130,32,40,103,100,110,66,341,352,91,62,348,170,495,393
"b0008",7972,8309,1303,1273,8736,4637,4984,5133,3054,4158,10565,8425,5857,4212,24225,26593
"b0009",177,414,27,34,220,102,99,101,61,65,277,192,148,45,701,600
"b0010",160,156,73,60,69,19,84,128,79,100,154,104,62,50,336,256
"b0011",86,69,1,8,44,44,55,34,93,146,24,27,107,64,90,59
"b0012",0,0,49,40,0,2,2,1,2,3,1,1,0,0,0,19
"b0013",0,0,0,2,1,0,3,1,0,6,0,2,0,0,5,13
"b0014",22821,18828,14753,13491,13829,12701,21902,18239,3914,4991,13669,11858,26952,20100,62371,44358
"b0015",3942,3172,832,810,1553,1465,3188,2826,682,811,2263,2010,2668,1962,6224,4295
"b0016",808,710,619,623,430,358,488,510,264,322,541,420,401,377,2158,2080
"b0018",135,72,0,3,23,4,32,16,19,10,22,24,33,37,47,49
"b4412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b0019",3318,2683,810,737,1178,2461,1831,1496,4747,4630,783,688,7483,6426,2377,1691
"b0020",451,281,237,218,388,325,268,191,510,521,266,235,634,463,532,501
"b0021",57,16,3,3,15,8,2,6,5,8,18,15,15,5,26,27
"b0022",58,38,1,0,32,11,5,14,10,20,28,20,6,0,38,71
"b0023",31383,25224,7,3,7495,5140,21774,22803,1710,1968,14439,11188,17203,13905,27067,19822
"b0024",95,75,57,63,38,60,76,71,237,304,31,29,319,211,52,56
"b0025",3483,2653,212,243,2088,1897,2523,2229,1232,1378,2269,2008,2629,2308,4050,5127
"b0026",12470,12040,904,755,11760,7628,9686,9098,4845,5203,13904,11991,11970,8479,21527,24269
"b0027",1908,1744,139,148,1230,1414,1783,1492,483,563,1601,1335,1661,1231,3138,3153
"b0028",309,469,127,107,557,231,198,267,128,178,639,465,395,199,1351,1278
"b0029",2277,2120,78,79,1032,1124,1510,1421,506,566,1467,1263,1896,1467,3272,2912
"b0030",1362,1215,10,18,124,82,151,147,52,64,408,430,21,53,2263,3028
"b0031",3897,3521,7,20,1931,2078,5111,4523,781,907,1483,1304,4834,4533,1938,1690
"b0032",8505,5924,12,17,1769,1982,9040,7886,253,238,2845,2156,3294,2280,1964,3119
"b0033",8958,7886,32,32,4150,3262,13339,13350,307,331,6264,4703,4419,2386,4366,5714
"b0034",578,248,156,175,44,63,477,374,121,106,57,52,600,477,497,1222
"b0035",100,7,6,0,16,33,31,33,82,64,33,20,57,63,41,59
"b0036",87,27,5,4,10,22,43,33,14,17,27,18,29,24,44,40
"b0037",323,192,70,41,107,130,212,182,166,181,107,76,705,472,181,246
"b0038",38,74,46,39,82,32,58,47,52,76,67,36,106,84,134,307
"b0039",184,99,65,73,90,85,115,70,58,89,86,73,221,168,283,295
"b0040",61,16,0,1,15,20,13,11,20,28,6,4,20,25,20,50
"b0041",26,30,0,0,7,0,14,4,4,6,5,6,1,8,7,32
"b0042",9,3,1,1,13,3,12,7,10,5,10,3,0,0,24,37
"b0043",157,76,1,5,18,8,33,31,36,27,82,67,14,15,25,28
"b0044",6,41,0,1,6,8,8,2,8,4,13,6,22,0,13,11
"b0045",139,49,2,2,24,18,12,35,23,42,36,23,41,31,41,25
"b0046",280,173,25,12,122,86,146,111,201,259,95,91,244,232,131,58
"b0047",884,880,85,57,428,646,542,502,873,966,409,369,1050,935,701,632
"b0048",979,749,8,4,334,181,394,331,348,383,427,330,284,341,1454,1522
"b0049",766,574,133,125,759,587,395,394,722,791,412,316,773,643,1213,946
"b0050",684,657,87,100,558,440,351,275,730,880,363,329,666,551,910,934
"b0051",1069,1018,118,139,1274,605,552,615,758,1034,1009,894,921,602,2982,3090
"b0052",1908,1783,85,91,1343,1357,1406,1467,634,690,1022,938,1663,1118,2697,3466
"b0053",5120,4244,188,156,3614,2564,2741,2871,1796,2145,4322,3460,3871,2638,6123,6383
"b0054",8423,7408,284,264,6340,4025,4453,4533,3964,4917,6998,5951,5962,4521,9832,11238
"b0055",1493,827,7,10,515,560,1052,885,404,444,645,528,1181,966,1310,1211
"b0056",311,242,28,27,192,181,186,172,296,406,178,182,339,316,150,238
"b0057",34,71,12,21,83,57,35,78,77,108,103,84,109,32,53,158
"b0058",542,325,1101,953,284,232,323,360,350,410,325,277,388,366,1212,802
"b0059",916,1058,1719,1654,1166,716,927,908,707,858,1067,1064,849,598,3836,2690
"b0060",372,476,13,25,350,201,149,214,581,740,302,269,336,440,760,724
"b0061",30,62,4,1,9,13,6,11,10,7,15,33,6,1,24,50
"b0062",300,240,2,4,64,24,37,29,68,53,139,100,77,58,219,186
"b0063",341,283,1,5,39,26,11,25,46,57,79,84,12,0,153,133
"b0064",2505,1462,4,3,329,319,547,404,672,763,798,728,545,389,1311,1308
"b0065",1453,1091,17,34,411,545,528,472,684,676,439,374,749,426,670,739
"b0066",434,355,10,10,253,289,391,303,58,40,287,251,249,137,352,277
"b0067",906,1116,14,14,806,347,549,754,103,122,823,667,402,180,738,687
"b0068",1849,1538,19,19,1330,1040,1275,1257,400,432,1333,1101,803,558,830,905
"b0069",244,326,105,82,336,187,232,266,166,185,286,223,385,230,389,509
"b4662",89,212,3,5,182,39,16,64,35,70,139,85,218,153,550,463
"b0070",1285,676,82,79,337,478,577,450,391,515,425,345,848,733,815,565
"b0071",7587,7426,119,136,5536,4182,4915,4777,34909,43647,7426,5626,5237,3290,210,213
"b0072",20716,15779,101,90,13121,12830,15842,13004,59006,69952,16483,12766,11472,7761,271,329
