locus_tag	GO_ID	type
BSU26790	GO:0071239	process
BSU26790	GO:0071239	process
BSU26790	GO:0071239	process
BSU38620	GO:0006284	process
BSU38620	GO:0006974	process
BSU38620	GO:0006281	process
BSU27090	GO:0006865	process
BSU27090	GO:0055085	process
BSU27090	GO:0006865	process
BSU27090	GO:0006865	process
BSU27090	GO:0055085	process
BSU27090	GO:0055085	process
BSU28720	GO:0046373	process
BSU28720	GO:0046373	process
BSU28720	GO:0046373	process
BSU28720	GO:0031222	process
BSU28720	GO:0000272	process
BSU28720	GO:0000272	process
BSU28720	GO:0000272	process
BSU28720	GO:0046373	process
BSU28720	GO:0000272	process
BSU14480	GO:0006351	process
BSU28810	GO:0005975	process
BSU28810	GO:0005975	process
BSU28810	GO:0005975	process
BSU28810	GO:0031222	process
BSU28810	GO:0005975	process
BSU28810	GO:0005975	process
BSU28810	GO:0031222	process
BSU28810	GO:0005975	process
BSU28810	GO:0031222	process
BSU28810	GO:0031222	process
BSU39330	GO:0005975	process
BSU39330	GO:0005975	process
BSU39330	GO:0005975	process
BSU39330	GO:0005975	process
BSU00370	GO:0030435	process
BSU00370	GO:0030435	process
BSU00370	GO:0030435	process
BSU00370	GO:0006351	process
BSU00370	GO:0006351	process
BSU00370	GO:0043937	process
BSU00370	GO:0030435	process
BSU00370	GO:0045892	process
BSU00370	GO:0006351	process
BSU00370	GO:0006351	process
BSU29200	GO:0006631	process
BSU29200	GO:0006633	process
BSU29200	GO:0006633	process
BSU29200	GO:2001295	process
BSU29200	GO:0006631	process
BSU29200	GO:2001295	process
BSU29200	GO:0006633	process
BSU29200	GO:0006631	process
BSU29200	GO:0006629	process
BSU29200	GO:2001295	process
BSU29200	GO:0006633	process
BSU29200	GO:0006629	process
BSU29200	GO:2001295	process
BSU29200	GO:0006629	process
BSU29200	GO:0006633	process
BSU29200	GO:0006629	process
BSU29200	GO:0006631	process
BSU29200	GO:0046677	process
BSU29200	GO:2001295	process
BSU24350	GO:0006629	process
BSU24350	GO:0006631	process
BSU24350	GO:0006631	process
BSU24350	GO:0006633	process
BSU24350	GO:0006631	process
BSU24350	GO:0006629	process
BSU24350	GO:0006629	process
BSU24350	GO:0006629	process
BSU24350	GO:0006633	process
BSU24350	GO:0006629	process
BSU24350	GO:0006631	process
BSU24350	GO:0006633	process
BSU24350	GO:0006633	process
BSU24350	GO:0006631	process
BSU24350	GO:0006633	process
BSU24350	GO:0006633	process
BSU24340	GO:0006629	process
BSU24340	GO:0006629	process
