"gene","ko"
"ACIAD_RS04900","KO00009"
"ACIAD_RS04905","KO00009"
"ACIAD_RS04910","KO00009"
"ACIAD_RS04915","KO00009"
"ACIAD_RS06580","KO00007"
"ACIAD_RS06585","KO00007"
"ACIAD_RS06590","KO00008"
"ACIAD_RS06595","KO00008"
"ACIAD_RS06600","KO00003"
"ACIAD_RS06605","KO00003"
"ACIAD_RS06610","KO00003"
"ACIAD_RS06620","KO00002"
"ACIAD_RS06625","KO00002"
"ACIAD_RS06635","KO00004"
"ACIAD_RS06640","KO00004"
"ACIAD_RS06645","KO00004"
"ACIAD_RS06650","KO00004"
"ACIAD_RS06655","KO00004"
"ACIAD_RS06660","KO00006"
"ACIAD_RS06680","KO00005"
"ACIAD_RS06685","KO00005"
"ACIAD_RS06690","KO00005"
"ACIAD_RS06695","KO00005"
"ACIAD_RS06700","KO00005"
"ACIAD_RS06705","KO00005"
"aq_109","KO00001"
"aq_111","KO00001"
"Atu0121","KO00030"
"Atu0122","KO00030"
"Atu0328","KO00022"
"Atu0329","KO00022"
"Atu0682","KO00028"
"Atu0683","KO00028"
"Atu2346","KO00016"
"Atu2347","KO00016"
"Atu2348","KO00016"
"Atu3302","KO00019"
"Atu3303","KO00019"
"Atu3307","KO00018"
"Atu3308","KO00018"
"Atu3309","KO00018"
"Atu4074","KO00021"
"Atu4075","KO00021"
"Atu4076","KO00021"
"Atu4077","KO00021"
"Atu4078","KO00021"
"Atu4538","KO00029"
"Atu4539","KO00029"
"Atu4540","KO00029"
"Atu4541","KO00029"
"Atu4542","KO00029"
"Atu5000","KO00017"
"Atu5001","KO00017"
"Atu5002","KO00017"
"Atu6124","KO00027"
"Atu6125","KO00027"
"Atu6126","KO00027"
"Atu6127","KO00026"
"Atu6128","KO00026"
"Atu6129","KO00026"
"Atu6138","KO00023"
"Atu6139","KO00023"
"Atu6140","KO00023"
"Atu6141","KO00023"
"Atu6142","KO00023"
"Atu6143","KO00023"
"Atu6144","KO00023"
"Atu6145","KO00023"
"Atu6150","KO00020"
"Atu6151","KO00020"
"Atu6167","KO00025"
"Atu6168","KO00025"
"Atu6169","KO00025"
"Atu6170","KO00025"
"Atu6171","KO00025"
"Atu6172","KO00025"
"Atu6173","KO00025"
"Atu6174","KO00025"
"Atu6175","KO00025"
"Atu6176","KO00025"
"Atu6177","KO00025"
"Atu6189","KO00024"
"Atu6190","KO00024"
"b0001","KO03262"
"b0002","KO03203,KO03262"
"b0003","KO03203,KO03262,KO03263"
"b0004","KO03203,KO03262,KO03263"
"b0005","KO03264"
"b0006","KO04672"
"b0007","KO04673"
"b0008","KO03248"
"b0009","KO03265"
"b0010","KO04674"
"b0011","KO04675,KO06158"
"b0013","KO04675"
"b0014","KO03266"
"b0015","KO03266,KO03267"
"b0018","KO04676"
"b0019","KO03270"
"b0020","KO03270"
"b0023","KO04677"
"b0024","KO03271"
"b0025","KO03272,KO06127"
"b0026","KO03272,KO06127,KO06128"
"b0027","KO03273,KO06126,KO06127,KO06128"
"b0028","KO03274,KO06126,KO06127,KO06128"
"b0029","KO03274,KO06126,KO06127,KO06128"
"b0030","KO03274"
"b0031","KO03275"
"b0032","KO03276"
"b0033","KO03276"
"b0034","KO03277"
"b0035","KO04678,KO04679,KO04680,KO04681"
"b0036","KO04678,KO04679,KO04680,KO04681"
"b0037","KO04679,KO04680,KO04681"
"b0038","KO04680,KO04681"
"b0039","KO04681"
"b0040","KO04681"
"b0041","KO03278"
"b0042","KO03278"
"b0043","KO03278"
"b0044","KO03278"
"b0045","KO03279"
"b0046","KO03280"
"b0047","KO03280"
"b0048","KO03281"
"b0049","KO04682,KO04683,KO04684,KO06071"
"b0050","KO04682,KO04683,KO04684,KO06071"
"b0051","KO04683,KO04684,KO06071"
"b0052","KO04684,KO06070,KO06071"
"b0053","KO04684,KO06070"
"b0054","KO04685,KO06070"
"b0055","KO03282"
"b0058","KO04686"
"b0059","KO04686,KO06122"
"b0060","KO04687"
"b0061","KO04688"
"b0062","KO04688"
"b0063","KO04688"
"b0064","KO03284"
"b0065","KO03285"
"b0066","KO04689,KO04690"
"b0067","KO04689,KO04690"
"b0068","KO04689,KO04690"
"b0069","KO04690"
"b0071","KO04691"
"b0072","KO04691"
"b0073","KO04691"
"b0074","KO04691"
"b0075","KO04691"
"b0076","KO03287"
"b0077","KO03288"
"b0078","KO03288"
"b0080","KO03289"
"b0081","KO03290"
"b0082","KO03290,KO03291"
"b0083","KO03290,KO03291,KO03292"
"b0084","KO03290,KO03291,KO03292"
"b0085","KO03290,KO03291,KO03292,KO03293"
"b0086","KO03290,KO03291,KO03292,KO03293"
"b0087","KO03290,KO03291,KO03292,KO03293"
"b0088","KO03290,KO03291,KO03292,KO03293"
"b0089","KO03290,KO03291,KO03292,KO03293"
"b0090","KO03290,KO03291,KO03292,KO03293"
"b0091","KO03290,KO03291,KO03292,KO03293,KO03294"
"b0092","KO03290,KO03291,KO03292,KO03293,KO03294"
"b0093","KO03290,KO03291,KO03292,KO03293,KO03294,KO03295"
"b0094","KO03290,KO03291,KO03292,KO03293,KO03294,KO03295"
"b0095","KO03290,KO03291,KO03292,KO03293,KO03294,KO03295,KO03296"
"b0096","KO03290,KO03291,KO03292,KO03293,KO03294,KO03295,KO03296,KO03297"
"b0097","KO03221,KO03298"
"b0098","KO03221,KO03298,KO03299"
"b0099","KO03298,KO03299"
"b0101","KO04692,KO04693,KO06054"
"b0102","KO04692,KO04693"
"b0103","KO04693"
"b0104","KO03300"
"b0106","KO04694"
"b0107","KO04694"
"b0108","KO04695"
"b0109","KO04696"
"b0110","KO03301"
"b0111","KO03301"
"b0112","KO04697"
"b0113","KO03302"
"b0114","KO03302,KO03303,KO06168"
"b0115","KO03302,KO03303,KO06168"
"b0116","KO03302,KO03303,KO03304"
"b0117","KO04698"
"b0118","KO03305"
"b0119","KO03306"
"b0120","KO04699,KO06087"
"b0121","KO04699,KO06087"
"b0122","KO04700,KO06087"
"b0123","KO03307"
"b0124","KO04701"
"b0125","KO03308"
"b0127","KO03309"
"b0128","KO03309"
"b0129","KO03309"
"b0130","KO03310"
"b0131","KO04702"
"b0132","KO03311"
"b0133","KO04703"
"b0134","KO04703"
"b0135","KO04704"
"b0136","KO04705"
"b0137","KO04705"
"b0138","KO04706"
"b0139","KO04706,KO06195"
"b0140","KO04707,KO06195"
"b0141","KO04708"
"b0142","KO04709"
"b0143","KO04709"
"b0144","KO03259"
"b0145","KO03259,KO06171"
"b0146","KO04710,KO06171"
"b0147","KO04710"
"b0148","KO03312"
"b0149","KO03313"
"b0150","KO03314"
"b0151","KO03314,KO03315"
"b0152","KO03314,KO03315"
"b0153","KO03314,KO03315"
"b0154","KO04711"
"b0155","KO03316"
"b0156","KO03317"
"b0157","KO04712"
"b0158","KO04712"
"b0159","KO04712"
"b0160","KO03318"
"b0161","KO03319"
"b0162","KO03319,KO06145"
"b0163","KO04713"
"b0164","KO04714"
"b0166","KO04715"
"b0167","KO04716,KO04717"
"b0168","KO04717"
"b0169","KO03321"
"b0170","KO03321"
"b0171","KO03322"
"b0172","KO03323"
"b0173","KO03323"
"b0174","KO03324"
"b0175","KO03324"
"b0176","KO03325"
"b0177","KO03325,KO03326"
"b0178","KO03327,KO06052"
"b0179","KO03327,KO06052"
"b0180","KO03328,KO06052"
"b0181","KO03220,KO03328,KO06052"
"b0182","KO03220,KO03328"
"b0183","KO03220,KO03328"
"b0184","KO03220,KO03328"
"b0185","KO03329"
"b0186","KO03330"
"b0187","KO03331"
"b0188","KO03331"
"b0189","KO04718"
"b0190","KO03332"
"b0191","KO03332"
"b0192","KO03332,KO03333"
"b0193","KO04719"
"b0194","KO04720"
"b0195","KO04721"
"b0196","KO04721"
"b0197","KO04722"
"b0198","KO04722"
"b0199","KO04722"
"b0200","KO03334"
"b0207","KO03337"
"b0208","KO04723"
"b0209","KO03338"
"b0210","KO03338"
"b0211","KO04724"
"b0212","KO04725"
"b0213","KO03339"
"b0214","KO04726"
"b0215","KO03340"
"b0217","KO03342"
"b0218","KO04727"
"b0219","KO04728"
"b0220","KO03344"
"b0221","KO04729"
"b0222","KO03345"
"b0223","KO03345"
"b0224","KO04730"
"b0225","KO04731"
"b0226","KO04731"
"b0227","KO03346"
"b0228","KO03346"
"b0229","KO04732"
"b0230","KO03347"
"b0231","KO03348"
"b0232","KO03349"
"b0233","KO03349"
"b0234","KO03349,KO03350"
"b0235","KO03351"
"b0236","KO03352"
"b0237","KO04733"
"b0238","KO03353"
"b0239","KO03354"
"b0240","KO03355"
"b0241","KO04734"
"b0242","KO03356"
"b0243","KO03356"
"b0245","KO04735"
"b0246","KO04735"
"b0247","KO04735"
"b0248","KO04735"
"b0249","KO04735"
"b0250","KO04736"
"b0252","KO04738"
"b0253","KO04739"
"b0254","KO04740"
"b0260","KO03360"
"b0261","KO03360"
"b0262","KO04741"
"b0263","KO04741"
"b0266","KO04742"
"b0267","KO04743"
"b0268","KO03361"
"b0269","KO03361"
