locus_tag	type	GO_ID	GO_term
BPS_RS00005	function	GO:0004357	                     /GO_function=""GO:0004357 - glutamate-cysteine ligase
BPS_RS00005	process	GO:0042398	                     /GO_process=""GO:0042398 - modified amino acid biosynthetic
BPS_RS00010	component	GO:0016020	membrane
BPS_RS00010	function	GO:0015078	                     /GO_function=""GO:0015078 - proton transmembrane
BPS_RS00010	function	GO:0015297	antiporter activity
BPS_RS00010	process	GO:0006812	                     /GO_process=""GO:0006812 - monoatomic cation transport
BPS_RS00010	process	GO:1902600	                     /GO_process=""GO:1902600 - proton transmembrane transport
BPS_RS00015	function	GO:0004808	                     /GO_function=""GO:0004808 - tRNA
BPS_RS00015	function	GO:0016491	                     /GO_function=""GO:0016491 - oxidoreductase activity
BPS_RS00015	process	GO:0008033	tRNA processing
BPS_RS00020	function	GO:0003677	DNA binding
BPS_RS00020	function	GO:0030527	                     /GO_function=""GO:0030527 - structural constituent of
BPS_RS00020	process	GO:0030261	                     /GO_process=""GO:0030261 - chromosome condensation
BPS_RS00035	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00035	component	GO:0019867	outer membrane
BPS_RS00035	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00040	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00040	function	GO:0005524	ATP binding
BPS_RS00040	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00045	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00045	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00055	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00055	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00060	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00060	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00065	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
BPS_RS00065	process	GO:0015628	                     /GO_process=""GO:0015628 - protein secretion by the type II
BPS_RS00075	component	GO:0016020	membrane
BPS_RS00075	process	GO:0009306	protein secretion
BPS_RS00080	component	GO:0009276	                     /GO_component=""GO:0009276 - Gram-negative-bacterium-type
BPS_RS00080	component	GO:0015627	                     /GO_component=""GO:0015627 - type II protein secretion
