locus_tag	type	GO_ID	GO_term
b0001	process	GO:0008652	amino acid biosynthetic process
b0001	process	GO:0009088	L-threonine biosynthetic process
b0001	process	GO:0031554	regulation of termination of DNA-templated transcription
b0001	process	GO:0031556	transcriptional attenuation by ribosome
b0001	process	GO:0008652	amino acid biosynthetic process
b0001	process	GO:0009088	L-threonine biosynthetic process
b0001	process	GO:0031554	regulation of termination of DNA-templated transcription
b0001	process	GO:0031556	transcriptional attenuation by ribosome
b0001	process	GO:0031555	transcriptional attenuation
b0001	process	GO:0008652	amino acid biosynthetic process
b0001	process	GO:0009088	L-threonine biosynthetic process
b0001	process	GO:0031554	regulation of termination of DNA-templated transcription
b0001	process	GO:0031556	transcriptional attenuation by ribosome
b0002	process	GO:0009089	L-lysine biosynthetic process via diaminopimelate
b0002	process	GO:0009090	L-homoserine biosynthetic process
b0002	process	GO:0051289	protein homotetramerization
b0002	process	GO:0006520	amino acid metabolic process
b0002	process	GO:0008652	amino acid biosynthetic process
b0002	process	GO:0009067	aspartate family amino acid biosynthetic process
b0002	process	GO:0009085	L-lysine biosynthetic process
b0002	process	GO:0009086	methionine biosynthetic process
b0002	process	GO:0009086	methionine biosynthetic process
b0002	process	GO:0009088	L-threonine biosynthetic process
b0002	process	GO:0009088	L-threonine biosynthetic process
b0002	process	GO:0009089	L-lysine biosynthetic process via diaminopimelate
b0002	process	GO:0009090	L-homoserine biosynthetic process
b0002	process	GO:0009090	L-homoserine biosynthetic process
b0003	process	GO:0006566	L-threonine metabolic process
b0003	process	GO:0008652	amino acid biosynthetic process
b0003	process	GO:0009088	L-threonine biosynthetic process
b0003	process	GO:0006566	L-threonine metabolic process
b0003	process	GO:0008652	amino acid biosynthetic process
b0003	process	GO:0009088	L-threonine biosynthetic process
b0003	process	GO:0009088	L-threonine biosynthetic process
b0003	process	GO:0009088	L-threonine biosynthetic process
b0003	process	GO:0006566	L-threonine metabolic process
b0003	process	GO:0008652	amino acid biosynthetic process
b0003	process	GO:0009088	L-threonine biosynthetic process
b0004	process	GO:0009088	L-threonine biosynthetic process
b0004	process	GO:0009088	L-threonine biosynthetic process
b0004	process	GO:0006520	amino acid metabolic process
b0004	process	GO:0008652	amino acid biosynthetic process
b0004	process	GO:0009088	L-threonine biosynthetic process
b0006	process	GO:0033194	response to hydroperoxide
b0006	process	GO:0033194	response to hydroperoxide
b0006	process	GO:0033194	response to hydroperoxide
b0006	process	GO:0033194	response to hydroperoxide
b0006	process	GO:0033194	response to hydroperoxide
b0007	process	GO:0003333	amino acid transmembrane transport
b0007	process	GO:0006811	monoatomic ion transport
b0007	process	GO:0006814	sodium ion transport
b0007	process	GO:0006865	amino acid transport
b0007	process	GO:0035725	sodium ion transmembrane transport
b0007	process	GO:0055085	transmembrane transport
b0008	process	GO:0009052	pentose-phosphate shunt, non-oxidative branch
b0008	process	GO:0005975	carbohydrate metabolic process
b0008	process	GO:0006098	pentose-phosphate shunt
b0008	process	GO:0009052	pentose-phosphate shunt, non-oxidative branch
b0009	process	GO:0032324	molybdopterin cofactor biosynthetic process
b0009	process	GO:0032324	molybdopterin cofactor biosynthetic process
b0009	process	GO:0006777	Mo-molybdopterin cofactor biosynthetic process
b0009	process	GO:0032324	molybdopterin cofactor biosynthetic process
b0010	process	GO:0035433	acetate transmembrane transport
b0010	process	GO:0035433	acetate transmembrane transport
b0010	process	GO:0071422	succinate transmembrane transport
b0010	process	GO:0006811	monoatomic ion transport
b0010	process	GO:0035433	acetate transmembrane transport
b0010	process	GO:0071422	succinate transmembrane transport
b0010	process	GO:1902600	proton transmembrane transport
b0014	process	GO:0006457	protein folding
b0014	process	GO:0006260	DNA replication
b0014	process	GO:0006457	protein folding
b0014	process	GO:0006457	protein folding
b0014	process	GO:0009408	response to heat
b0014	process	GO:0009408	response to heat
b0014	process	GO:0009408	response to heat
b0014	process	GO:0034620	cellular response to unfolded protein
b0014	process	GO:0034620	cellular response to unfolded protein
b0014	process	GO:0042026	protein refolding
b0014	process	GO:0043335	protein unfolding
b0014	process	GO:0045892	negative regulation of DNA-templated transcription
b0014	process	GO:0065003	protein-containing complex assembly
b0014	process	GO:1990169	stress response to copper ion
b0015	process	GO:0006260	DNA replication
b0015	process	GO:0006457	protein folding
b0015	process	GO:0009408	response to heat
b0015	process	GO:0042026	protein refolding
b0015	process	GO:0006260	DNA replication
